identificadorArchivo,archivoOrigen,rutaArchivo,arquitectura,particion,indiceChunk,filasValidas,inicioFuente,finFuente,inicioRegistroValido,finRegistroValido,rutaParquetChunk,columnas,fechaActualizacion,rutaChunk
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,0,1500,0,1499,0,1499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00000.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:15.187392+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00000.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,1,1500,1500,2999,1500,2999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00001.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:15.886183+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00001.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,2,1500,3000,4499,3000,4499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00002.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:16.615655+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00002.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,3,1500,4500,5999,4500,5999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00003.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:17.327875+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00003.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,4,1500,6000,7499,6000,7499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00004.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:17.987701+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00004.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,5,1500,7500,8999,7500,8999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00005.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:18.712417+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00005.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,6,1500,9000,10499,9000,10499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00006.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:19.331317+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00006.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,7,1500,10500,11999,10500,11999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00007.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:19.996079+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00007.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,8,1500,12000,13499,12000,13499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00008.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:20.746525+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00008.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,9,1500,13500,14999,13500,14999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00009.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:21.475518+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00009.parquet
