identificadorArchivo,archivoOrigen,arquitectura,particion,indiceChunk,filasValidas,rutaParquetChunk,fechaActualizacion
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,0,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00000.parquet,2026-03-15T16:34:15.724031+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,1,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00001.parquet,2026-03-15T16:34:15.856609+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,2,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00002.parquet,2026-03-15T16:34:15.991927+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,3,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00003.parquet,2026-03-15T16:34:16.129107+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,4,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00004.parquet,2026-03-15T16:34:16.258937+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,5,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00005.parquet,2026-03-15T16:34:16.390433+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,6,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00006.parquet,2026-03-15T16:34:16.520995+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,7,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00007.parquet,2026-03-15T16:34:16.669406+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,8,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00008.parquet,2026-03-15T16:34:16.800516+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,9,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00009.parquet,2026-03-15T16:34:16.930222+00:00
