caracteristica,mutualInformation,importanciaExtraTrees,rankMi,rankBosque,scoreCombinado
sectionEntropiaMax,0.4464964773083966,0.014592225967032727,4.0,14.0,-18.0
headerCoffChar_dll,0.2688829756214348,0.1286613326880765,20.0,1.0,-21.0
behaviorConteo,0.2484025214959651,0.0316149392944025,27.0,4.0,-31.0
sectionOverlayEntropia,0.30385333311921925,0.010194859894798958,14.0,18.0,-32.0
authenticodeLatestSigningTime,0.22718453006427564,0.059225816589074,32.0,2.0,-34.0
sectionEntropiaStd,0.34306236422506564,0.006277523058169772,7.0,27.0,-34.0
sectionOverlayRatio,0.26778467504052195,0.013501383550841885,21.0,15.0,-36.0
generalEntropia,0.30233681314389305,0.008475533677675107,15.0,21.0,-36.0
stringsEntropia,0.3098043002357773,0.005810638153419653,10.0,30.0,-40.0
headerDllChar_nx_compat,0.17347880520821413,0.044321834722776135,39.0,3.0,-42.0
headerCoffTimestamp,0.45675106332152393,0.004125114129211183,2.0,42.0,-44.0
headerOptionalImageBase,0.26729706151631527,0.006178744033392008,22.0,28.0,-50.0
headerDllChar_dynamic_base,0.16117445057080593,0.031179486134595587,47.0,5.0,-52.0
headerOptionalMinorLinkerVersion,0.23810777222955504,0.006281507113385259,30.0,26.0,-56.0
sectionEntropiaMedia,0.3449719594766705,0.003779921385896854,6.0,50.0,-56.0
authenticodeChainMaxDepth,0.16157807376522348,0.016897548082558046,46.0,11.0,-57.0
sectionProp_mem_execute,0.19653585241640803,0.006675653286851032,36.0,24.0,-60.0
sectionOverlayTamano,0.29890834977641445,0.0038871074870565838,17.0,47.0,-64.0
authenticodeNumCerts,0.1617168914735072,0.00855368326573443,45.0,20.0,-65.0
headerCoffChar_local_syms_stripped,0.12110232879494398,0.024622351995719393,61.0,6.0,-67.0
lastAnalysisDate,0.4955138805543542,0.0032219169734981025,1.0,66.0,-67.0
headerOptionalDllCharacteristicsConteo,0.14559149518478853,0.011317438981988028,52.0,17.0,-69.0
sectionProp_mem_write,0.17542354463949206,0.004845775630678918,38.0,35.0,-73.0
headerCoffChar_line_nums_stripped,0.11072346353990437,0.01756845939635947,65.0,9.0,-74.0
stringsLongitudPromedio,0.33632397137159,0.0030114775440854623,8.0,70.0,-78.0
behavior_backdoor,0.1028175457270315,0.01679938288072165,67.0,12.0,-79.0
headerDllChar_no_seh,0.07853546143004464,0.01755023410594373,70.0,10.0,-80.0
importsPromedioFuncionesPorDll,0.25063389682445125,0.0035853225141152054,25.0,55.0,-80.0
histogramaSuma,0.3083045678828491,0.003093159177686954,11.0,69.0,-80.0
headerCoffCharacteristicsConteo,0.13928202735842699,0.006351864181057608,58.0,25.0,-83.0
headerCoffChar_relocs_stripped,0.06468385469210025,0.02181541031864892,79.0,7.0,-86.0
headerOptionalAddressOfEntrypoint,0.45667029290417926,0.0025896578491214467,3.0,89.0,-92.0
importsApi_exitprocess,0.07271827562449573,0.009006402537098413,76.0,19.0,-95.0
