valor,conteo
GetProcAddress,3324752
GetCurrentThreadId,2865860
CloseHandle,2823948
GetCurrentProcess,2735554
GetCurrentProcessId,2729076
TerminateProcess,2686494
GetLastError,2564320
Sleep,2534512
ExitProcess,2371254
SetUnhandledExceptionFilter,2319360
QueryPerformanceCounter,2315612
WideCharToMultiByte,2297984
WriteFile,2283038
GetSystemTimeAsFileTime,2273644
UnhandledExceptionFilter,2272354
FreeLibrary,2165024
DeleteCriticalSection,2098922
EnterCriticalSection,2079550
LeaveCriticalSection,2070930
MultiByteToWideChar,2057778
LoadLibraryA,2036690
WaitForSingleObject,2029430
GetModuleHandleW,1995718
ReadFile,1971892
IsDebuggerPresent,1966244
GetModuleHandleA,1946028
RegCloseKey,1852268
GetTickCount,1813722
HeapAlloc,1746580
HeapFree,1721792
LocalFree,1711934
SetLastError,1698722
IsProcessorFeaturePresent,1648376
GetCommandLineA,1646046
FindClose,1643692
memset,1620184
GetModuleFileNameW,1599082
memcpy,1568680
GetModuleFileNameA,1562396
CreateFileW,1553134
TlsGetValue,1536626
CreateThread,1522886
SetFilePointer,1508524
GetStdHandle,1493132
GetProcessHeap,1488020
_initterm,1481216
RaiseException,1469692
GetACP,1413304
InitializeSListHead,1410906
RtlUnwind,1390150
TlsSetValue,1351512
TlsAlloc,1331548
InitializeCriticalSection,1312366
HeapReAlloc,1299638
GetStartupInfoW,1284334
InitializeCriticalSectionAndSpinCount,1270948
SetEvent,1270562
GetFileType,1269222
ShowWindow,1263222
free,1258350
GetCPInfo,1251098
VirtualQuery,1234448
CreateFileA,1230302
GetFileSize,1210414
GetOEMCP,1208820
LoadLibraryExW,1208282
DestroyWindow,1198642
TlsFree,1198458
FlushFileBuffers,1190372
LCMapStringW,1184642
GetEnvironmentStringsW,1178212
CoCreateInstance,1174286
GetCommandLineW,1174016
FreeEnvironmentStringsW,1169718
GetStringTypeW,1160262
HeapSize,1156274
GetWindowRect,1109972
exit,1092122
GetConsoleMode,1091424
LocalAlloc,1089816
malloc,1087650
TranslateMessage,1086376
SetStdHandle,1084558
VirtualProtect,1073064
FindNextFileW,1058584
VirtualAlloc,1031650
ResetEvent,1006438
WriteConsoleW,1005458
LoadLibraryW,1003494
_cexit,999426
CoUninitialize,995154
GetExitCodeProcess,994852
MessageBoxA,984090
IsValidCodePage,982452
GetVersionExA,976366
PostQuitMessage,972704
DeleteFileW,972304
CreateEventW,971496
_initterm_e,960394
SetTimer,958244
EncodePointer,956040
DeleteObject,955036
lstrlenW,951594
lstrlenA,950146
RegOpenKeyExA,945090
SetEndOfFile,942740
CompareStringW,925260
VirtualFree,917580
RegQueryValueExA,903742
GetVersion,901902
memmove,896826
GetModuleHandleExW,896236
DeleteFileA,895778
RegOpenKeyExW,891372
GetFileAttributesW,890952
GetSystemMetrics,882770
SysAllocString,876008
CoInitialize,871348
strncmp,865732
RtlLookupFunctionEntry,863334
DecodePointer,861252
RtlCaptureContext,853846
LoadResource,848000
GetDC,846626
RtlVirtualUnwind,842524
CoTaskMemFree,841410
CreateProcessA,836772
RegQueryValueExW,832140
InterlockedIncrement,827892
FormatMessageW,825234
GetTimeZoneInformation,824654
CreateDirectoryW,820036
SetFilePointerEx,819454
GetCurrentThread,815856
GetStockObject,808784
SysFreeString,807396
DispatchMessageA,803540
SendMessageA,795580
GetSystemInfo,790650
SelectObject,785140
GlobalAlloc,781652
FileTimeToSystemTime,779542
GetClientRect,776120
SetTextColor,767920
SizeofResource,759398
LockResource,757508
CreateProcessW,751976
_initialize_onexit_table,751732
strchr,751516
FindFirstFileW,750602
GlobalFree,749870
OpenProcessToken,749340
RegSetValueExA,736748
OutputDebugStringW,735710
ReleaseDC,734986
_CxxThrowException,729406
GetTempPathW,727304
WaitForSingleObjectEx,723996
CreateWindowExA,723898
GetWindow,722636
GetSystemDirectoryA,718668
GetLocalTime,714416
GetFullPathNameW,710980
SetBkColor,710550
GetForegroundWindow,710374
GetTempPathA,702234
SetWindowPos,696044
atoi,695704
LoadCursorA,693068
OpenProcess,692146
_initialize_narrow_environment,689352
_configure_narrow_argv,686960
IsWindowVisible,684060
DefWindowProcA,682474
RegCreateKeyExA,680492
GetWindowsDirectoryA,677562
GlobalLock,672152
SetFocus,671348
GlobalUnlock,670322
SetEnvironmentVariableW,668956
HeapDestroy,668418
RegSetValueExW,667978
EnableWindow,663824
GetDeviceCaps,659656
rand,654780
_crt_atexit,654218
GetConsoleOutputCP,653062
GetFileAttributesA,652840
FindFirstFileExW,648358
_register_onexit_function,643656
InvalidateRect,633684
GetLocaleInfoW,633084
__setusermatherr,630926
GetStartupInfoA,630304
VariantClear,629800
_exit,628252
MessageBoxW,620512
CreateMutexA,620238
IsWindow,620140
RemoveDirectoryW,617634
