valor,conteo
KERNEL32.dll,2850764
USER32.dll,1927038
ADVAPI32.dll,1732752
ole32.dll,1236218
SHELL32.dll,1182548
GDI32.dll,929426
api-ms-win-crt-runtime-l1-1-0.dll,828458
OLEAUT32.dll,747656
KERNEL32.DLL,709664
VCRUNTIME140.dll,703688
api-ms-win-crt-heap-l1-1-0.dll,696426
kernel32.dll,669284
api-ms-win-crt-string-l1-1-0.dll,579350
COMCTL32.dll,571350
api-ms-win-crt-stdio-l1-1-0.dll,569864
WS2_32.dll,551474
SHLWAPI.dll,511094
api-ms-win-crt-math-l1-1-0.dll,498626
user32.dll,489972
msvcrt.dll,463272
MSVCP140.dll,411994
ADVAPI32.DLL,400866
USER32.DLL,389058
GDI32.DLL,380604
advapi32.dll,378270
oleaut32.dll,375472
api-ms-win-crt-convert-l1-1-0.dll,373422
VERSION.dll,363244
OLEAUT32.DLL,355768
ntdll.dll,351918
CRTDLL.DLL,342458
WININET.DLL,341302
ole32.DLL,336774
api-ms-win-crt-locale-l1-1-0.dll,327750
api-ms-win-crt-time-l1-1-0.dll,309052
WINMM.dll,275580
comctl32.dll,259460
api-ms-win-crt-filesystem-l1-1-0.dll,255986
RPCRT4.dll,227226
api-ms-win-crt-utility-l1-1-0.dll,225642
VCRUNTIME140_1.dll,219120
MSVCRT.dll,219000
CRYPT32.dll,216756
api-ms-win-crt-environment-l1-1-0.dll,203634
WININET.dll,193740
gdi32.dll,189270
wsock32.dll,187590
WINSPOOL.DRV,186300
gdiplus.dll,184840
comdlg32.dll,182446
shell32.dll,181196
version.dll,171530
IPHLPAPI.DLL,146416
PSAPI.DLL,135342
IMM32.dll,132154
COMDLG32.dll,113206
MPR.dll,109434
USERENV.dll,105840
bcrypt.dll,105482
MFC42.DLL,102680
api-ms-win-core-synch-l1-2-0.dll,102060
dbghelp.dll,101942
MSVCRT.DLL,100266
urlmon.dll,97016
MSIMG32.dll,96846
api-ms-win-core-profile-l1-1-0.dll,94822
api-ms-win-core-processthreads-l1-1-0.dll,94424
wininet.dll,93452
api-ms-win-core-libraryloader-l1-2-0.dll,92610
api-ms-win-core-sysinfo-l1-1-0.dll,91270
api-ms-win-core-errorhandling-l1-1-0.dll,90320
SETUPAPI.dll,89464
crypt32.dll,85988
MSVBVM60.DLL,85832
api-ms-win-core-synch-l1-1-0.dll,83482
winmm.dll,82722
api-ms-win-core-handle-l1-1-0.dll,81280
api-ms-win-crt-private-l1-1-0.dll,80982
Qt5Core.dll,79448
api-ms-win-core-heap-l1-1-0.dll,74788
WTSAPI32.dll,74770
api-ms-win-core-string-l1-1-0.dll,72740
winhttp.dll,71344
UxTheme.dll,69596
WSOCK32.dll,69302
api-ms-win-core-registry-l1-1-0.dll,68428
api-ms-win-core-debug-l1-1-0.dll,68178
WINTRUST.dll,66752
api-ms-win-core-localization-l1-2-0.dll,65610
ws2_32.dll,63604
WINHTTP.dll,62082
NETAPI32.dll,61934
OLEACC.dll,60488
api-ms-win-core-file-l1-1-0.dll,58354
WLDAP32.dll,57464
oledlg.dll,56770
api-ms-win-core-processthreads-l1-1-1.dll,56670
shlwapi.dll,56340
mscoree.dll,56242
api-ms-win-core-com-l1-1-0.dll,54118
api-ms-win-core-heap-l2-1-0.dll,53244
netapi32.dll,53242
api-ms-win-core-interlocked-l1-1-0.dll,52954
Qt5Gui.dll,52876
api-ms-win-core-delayload-l1-1-1.dll,49628
winspool.drv,49380
api-ms-win-eventing-provider-l1-1-0.dll,49122
MSVCR90.dll,47968
api-ms-win-core-delayload-l1-1-0.dll,47192
dwmapi.dll,46964
MSVCR100.dll,46558
api-ms-win-core-threadpool-l1-2-0.dll,45038
Secur32.dll,44664
api-ms-win-crt-multibyte-l1-1-0.dll,44028
psapi.dll,43934
api-ms-win-security-base-l1-1-0.dll,43680
api-ms-win-core-rtlsupport-l1-1-0.dll,43610
msi.dll,42586
SHELL32.DLL,42572
imm32.dll,41034
userenv.dll,40940
libvlccore.dll,40860
MSVCR80.dll,40386
mpr.dll,39408
NTDLL.DLL,39384
api-ms-win-core-processenvironment-l1-1-0.dll,39384
api-ms-win-core-winrt-l1-1-0.dll,39308
d3d11.dll,39040
ntdsapi.dll,38482
Qt5Widgets.dll,38348
MSVCR120.dll,37046
d3d9.dll,35964
SHLWAPI.DLL,35760
COMCTL32.DLL,35726
api-ms-win-core-winrt-string-l1-1-0.dll,35532
untfs.dll,35434
Cabinet.dll,35168
ntoskrnl.exe,34704
api-ms-win-core-util-l1-1-0.dll,34086
api-ms-win-core-memory-l1-1-0.dll,33568
mfc140u.dll,31666
cryptdll.dll,31222
OLE32.DLL,30906
dxgi.dll,30210
uxtheme.dll,30056
authz.dll,29716
MSVCP120.dll,28642
avifil32.dll,28566
Normaliz.dll,28414
iphlpapi.dll,28286
api-ms-win-core-winrt-error-l1-1-0.dll,28204
MSVCR110.dll,27954
glu32.dll,26902
crtdll.dll,26170
mscms.dll,26124
opengl32.dll,25942
OPENGL32.dll,25394
api-ms-win-core-libraryloader-l1-2-1.dll,25326
api-ms-win-core-kernel32-legacy-l1-1-0.dll,24840
libstdc++-6.dll,24728
api-ms-win-core-synch-l1-2-1.dll,24356
comsvcs.dll,24010
cmpbk32.dll,23994
api-ms-win-core-string-obsolete-l1-1-0.dll,23994
WINMM.DLL,23904
MSVCP100.dll,23476
api-ms-win-core-timezone-l1-1-0.dll,23418
wtsapi32.dll,23196
RASAPI32.dll,22674
api-ms-win-core-apiquery-l1-1-0.dll,22474
msvcp_win.dll,21734
MSVCP90.dll,21698
api-ms-win-core-io-l1-1-0.dll,20662
MSVCP110.dll,20654
mfc140.dll,20474
POWRPROF.dll,20042
api-ms-win-core-path-l1-1-0.dll,19992
Qt5Network.dll,19986
rsaenh.dll,19760
Qt6Core.dll,19552
api-ms-win-core-string-l2-1-0.dll,18762
api-ms-win-core-sysinfo-l1-2-0.dll,18734
imagehlp.dll,18334
msimg32.dll,18316
HAL.dll,17822
api-ms-win-security-sddl-l1-1-0.dll,17752
ucrtbase.dll,17558
api-ms-win-core-threadpool-legacy-l1-1-0.dll,17358
RPCRT4.DLL,17186
ucrtbased.dll,16936
api-ms-win-core-psapi-l1-1-0.dll,16846
VCRUNTIME140D.dll,16842
api-ms-win-core-file-l2-1-0.dll,16806
MSVCP60.dll,16570
MSWSOCK.dll,16278
MSVCP80.dll,15540
api-ms-win-core-heap-obsolete-l1-1-0.dll,15434
api-ms-win-core-winrt-error-l1-1-1.dll,15242
libgcc_s_dw2-1.dll,15220
