valor,conteo
IMAGE_FILE_MACHINE_I386,3742776
IMAGE_FILE_MACHINE_AMD64,1279230
IMAGE_FILE_MACHINE_ARM64,68322
IMAGE_FILE_MACHINE_UNKNOWN,8682
IMAGE_FILE_MACHINE_ARMNT,6840
IMAGE_FILE_MACHINE_ALPHA,3310
IMAGE_FILE_MACHINE_THUMB,2854
IMAGE_FILE_MACHINE_ARM,2492
IMAGE_FILE_MACHINE_R4000,1978
IMAGE_FILE_MACHINE_IA64,620
IMAGE_FILE_MACHINE_SH3,530
IMAGE_FILE_MACHINE_POWERPC,332
IMAGE_FILE_MACHINE_SH4,152
IMAGE_FILE_MACHINE_LOONGARCH64,32
IMAGE_FILE_MACHINE_MIPSFPU,16
IMAGE_FILE_MACHINE_MIPS16,12
IMAGE_FILE_MACHINE_EBC,4
IMAGE_FILE_MACHINE_RISCV64,2
IMAGE_FILE_MACHINE_CEF,2
IMAGE_FILE_MACHINE_R3000,2
