valor,conteo
File and Directory Discovery [E1083],2422194
System Information Discovery [E1082],1508409
Writes File [C0052],1131463
Obfuscated Files or Information [E1027.m02],1071705
Read File [C0051],1011520
Dynamic Analysis Evasion [B0003.003],953730
Allocate Memory [C0007],931313
Encode Data [C0026.002],923201
Create File [C0016],878351
Terminate Process [C0018],821707
Create Process [C0017],671805
Registry [C0036.003],635036
Registry [C0036.004],635003
Registry [C0036.006],610874
Delete File [C0047],582025
Debugger Detection [B0001.019],553884
Modulo [C0058],538044
Create Thread [C0038],531125
Virtual Machine Detection [B0009],522955
Get File Attributes [C0049],487416
Create Directory [C0046],482583
Command and Scripting Interpreter [E1059],481224
Registry [C0036.001],417448
Delete Directory [C0048],351763
Encode Data [C0026.001],338288
Analysis Tool Discovery [B0013.001],317085
Install Additional Program [B0023],316447
Code Discovery [B0046.001],311859
Encrypt Data [C0027.009],306480
Checksum [C0032.001],294543
Set File Attributes [C0050],292807
Move File [C0063],292316
Change Memory Protection [C0008],284016
Environment Variable [C0034.001],278394
Check String [C0019],275995
Registry [C0036.005],274578
Set Thread Local Storage Value [C0041],272219
Allocate Thread Local Storage [C0040],259287
Registry [C0036.007],257088
Registry [C0036.002],248743
Create Mutex [C0042],230990
Application Window Discovery [E1010],230049
Generate Pseudo-random Sequence [C0021.004],229218
Copy File [C0045],219994
Software Packing [F0001.002],217021
Debugger Detection [B0001.032],214440
Executable Code Obfuscation [B0032.020],211594
Executable Code Obfuscation [B0032.017],211594
Open Process [C0065],204826
Obfuscated Files or Information [E1027.m05],186106
C2 Communication [B0030.002],163664
Keylogging [F0002.002],144959
Create Process [C0017.003],143537
Software Packing [F0001.008],140702
Compression Library [C0060],140576
Clipboard Modification [E1510],140214
C2 Communication [B0030.001],135610
Resume Thread [C0054],129166
Socket Communication [C0001.009],121740
Generate Pseudo-random Sequence [C0021],115095
Cryptographic Hash [C0029.001],114742
Socket Communication [C0001.006],113819
Check Mutex [C0043],113172
Compress Data [C0024],110336
Non-Cryptographic Hash [C0030.005],108808
Socket Communication [C0001.007],105217
DNS Communication [C0011.001],101817
Socket Communication [C0001.001],99956
Checksum [C0032.005],97985
Generate Pseudo-random Sequence [C0021.003],94217
Interprocess Communication [C0003.001],93117
HTTP Communication [C0002.014],90753
Terminate Thread [C0039],90665
Encrypt Data [C0027.001],85434
Debugger Detection [B0001.025],85267
Cryptographic Hash [C0029.002],84004
HTTP Communication [C0002.012],80829
Debugger Detection [B0001.033],78387
HTTP Communication [C0002.017],78307
Non-Cryptographic Hash [C0030.001],73785
Encryption Key [C0028.002],72269
Socket Communication [C0001.012],70442
Screen Capture [E1113.m01],69584
Code Discovery [B0046.002],66253
Suspend Thread [C0055],66103
Hashed Message Authentication Code [C0061],65118
Cryptographic Hash [C0029.003],63734
Registry Run Keys / Startup Folder [F0012],62921
Interprocess Communication [C0003.003],59389
Interprocess Communication [C0003.002],57526
Cryptographic Hash [C0029],56929
Socket Communication [C0001.010],55217
Socket Communication [C0001.011],53383
Conditional Execution [B0025.007],51336
Self Deletion [F0007.001],50682
Interprocess Communication [C0003.004],50104
