valor,conteo
upx,62040
vmprotect,55588
themida,40756
nsis,21722
enigmaprotector,4800
petite,2764
nspm,1252
mpress,1202
obsidium,1192
aspack,836
nspack,796
nsanti,564
mystic,546
pecompact,458
armadillo,420
packman,406
upack,384
vprotect,332
asprotect,302
rlpack,282
fsg,242
pespin,226
zprotect,224
molebox,176
mew,154
privateexeprotector,128
bero,124
exestealth,72
execryptor,58
exe32pack,58
safengine,24
upc,18
pex,18
bitarts,16
nakedpack,14
telock,14
yoda,10
spack,8
softcompress,8
npack,6
expressor,4
pearmor,4
orien,4
maskpe,2
xcomp,2
kbys,2
niceprotect,2
ppp,2
zipmonster,2
themida64,2
sonne,2
