valor,conteo
MEM_READ,31918874
CNT_INITIALIZED_DATA,24317870
MEM_WRITE,11649886
MEM_EXECUTE,7554000
CNT_CODE,6765952
MEM_DISCARDABLE,3501318
ALIGN_MASK,2064682
ALIGN_4096BYTES,2064168
ALIGN_64BYTES,2060462
ALIGN_16BYTES,2059668
ALIGN_1024BYTES,1964994
ALIGN_4BYTES,1960544
ALIGN_8192BYTES,1869768
ALIGN_32BYTES,1863742
ALIGN_512BYTES,1570488
ALIGN_2BYTES,1561346
ALIGN_256BYTES,1523704
ALIGN_1BYTES,1518820
CNT_UNINITIALIZED_DATA,1342264
ALIGN_2048BYTES,775220
ALIGN_8BYTES,768614
MEM_SHARED,435404
MEM_NOT_PAGED,234778
MEM_LOCKED,21808
TYPE_NOLOAD,12778
LNK_INFO,12246
TYPE_COPY,11872
ALIGN_128BYTES,11418
TYPE_DSECT,9116
LNK_REMOVE,8152
LNK_OVER,7826
TYPE_GROUP,7072
TYPE_NO_PAD,4630
MEM_PURGEABLE,4268
MEM_16BIT,4268
MEM_NOT_CACHED,4186
MEM_SYSHEAP,4132
MEM_PRELOAD,3410
LNK_COMDAT,3272
LNK_OTHER,2956
MEM_PROTECTED,2272
NO_DEFER_SPEC_EXC,2272
LNK_NRELOC_OVFL,1846
GPREL,1756
MEM_FARDATA,1756
