valor,conteo
dos_msg,4474506
file,4252092
process,4204930
exit,4201678
system,3970730
module,3848988
create,3834644
thread,3736974
window,3665290
delete,3538222
environment,3180570
security,3098452
command,2864172
url,2799304
http://,2769996
directory,2729026
debug,2691528
memory,2658088
privilege,2603332
enum,2506420
resource,2344476
connect,2165504
token,2163418
shell,2144364
service,2122636
ipv6_addr,1850364
decode,1837354
encode,1793506
install,1750740
ipv4_addr,1726386
cache,1699248
desktop,1567612
mutex,1550854
certificate,1353252
https://,1255896
disk,1242122
crypt,1081500
internet,1043462
btc_wallet,1038538
download,982802
password,946286
html,933518
remote,902244
clipboard,744890
.click(,737272
cookie,712904
keyboard,666270
snapshot,663312
base64,565748
hidden,494100
hostname,416276
http,304852
onlick,266168
useragent,217154
javascript,188590
file_path,166746
ftp,131960
/bin/,95290
/dev/,90614
<script,84756
/usr/,83600
email_addr,71576
mac_addr,71576
powershell,68212
/tmp/,42720
wallet,39062
registry_key,36980
get,30950
/FlateDecode,20320
/URI,19418
/proc/,15710
post,11854
Invoke-Expression,3028
/EmbeddedFile,2042
base64string,456
Invoke-Command,392
